Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
ISJ-Invertebrate Survival Journal,ISJ-INVERT SURVIV J,INVERTEBRATE SURVIVAL JOURNAL,1824-307X,N/A,ZOOLOGY,SCIE,536,1.2,Q2,0.4,0%
HERPETOLOGICAL MONOGRAPHS,HERPETOL MONOGR,HERPETOLOGISTS LEAGUE,0733-1347,1938-5137,ZOOLOGY,SCIE,336,1.1,Q3,0.99,0%
ZOOMORPHOLOGY,ZOOMORPHOLOGY,SPRINGER,0720-213X,1432-234X,ZOOLOGY,SCIE,"1,023",1.1,Q3,0.7,35.45%
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,WILEY,0001-7272,1463-6395,ZOOLOGY,SCIE,"1,131",1.1,Q3,0.67,13.68%
JOURNAL OF COMPARATIVE PSYCHOLOGY,J COMP PSYCHOL,AMER PSYCHOLOGICAL ASSOC,0735-7036,1939-2087,ZOOLOGY,SCIE,"2,451",1.1,Q3,0.64,2.68%
HERPETOLOGICAL JOURNAL,HERPETOL J,BRITISH HERPETOL SOC,0268-0130,0268-0130,ZOOLOGY,SCIE,801,1.1,Q3,0.63,3.39%
European Journal of Taxonomy,EUR J TAXON,MUSEUM NATL HISTOIRE NATURELLE,N/A,2118-9773,ZOOLOGY,SCIE,"1,343",1.1,Q3,0.54,98.73%
AMERICAN MUSEUM NOVITATES,AM MUS NOVIT,AMER MUSEUM NATURAL HISTORY,0003-0082,1937-352X,ZOOLOGY,SCIE,"2,038",1.1,Q3,0.47,0%
ACTA ETHOLOGICA,ACTA ETHOL,SPRINGER HEIDELBERG,0873-9749,1437-9546,ZOOLOGY,SCIE,516,1.1,Q3,0.46,17.14%
HELMINTHOLOGIA,HELMINTHOLOGIA,SCIENDO,0440-6605,1336-9083,ZOOLOGY,SCIE,700,1.1,Q3,0.41,99.22%
CANADIAN JOURNAL OF ZOOLOGY,CAN J ZOOL,CANADIAN SCIENCE PUBLISHING,0008-4301,1480-3283,ZOOLOGY,SCIE,"9,930",1,Q3,0.72,11.28%
AMPHIBIA-REPTILIA,AMPHIBIA-REPTILIA,BRILL,0173-5373,1568-5381,ZOOLOGY,SCIE,"1,540",1,Q3,0.7,17.78%
VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,VET COMP ORTHOPAED,GEORG THIEME VERLAG KG,0932-0814,2567-6911,ZOOLOGY,SCIE,"1,700",1,Q3,0.52,2.82%
