Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
JOURNAL OF COASTAL CONSERVATION,J COAST CONSERV,SPRINGER,1400-0350,1874-7841,ENVIRONMENTAL SCIENCES,SCIE,"1,754",1.7,Q4,0.48,22.89%
JOURNAL OF PALEOLIMNOLOGY,J PALEOLIMNOL,SPRINGER,0921-2728,1573-0417,ENVIRONMENTAL SCIENCES,SCIE,"3,383",1.7,Q4,0.48,27.21%
COASTAL MANAGEMENT,COAST MANAGE,TAYLOR & FRANCIS INC,0892-0753,1521-0421,ENVIRONMENTAL SCIENCES,SCIE,"1,167",1.7,Q4,0.46,19.44%
WATER AND ENVIRONMENT JOURNAL,WATER ENVIRON J,WILEY,1747-6585,1747-6593,ENVIRONMENTAL SCIENCES,SCIE,"1,594",1.7,Q4,0.45,12.25%
RIVER RESEARCH AND APPLICATIONS,RIVER RES APPL,WILEY,1535-1459,1535-1467,ENVIRONMENTAL SCIENCES,SCIE,"5,030",1.7,Q4,0.41,31.70%
HUMAN DIMENSIONS OF WILDLIFE,HUM DIMENS WILDL,TAYLOR & FRANCIS LTD,1087-1209,1533-158X,ENVIRONMENTAL SCIENCES,SCIE,"1,724",1.7,Q4,0.39,11.36%
MOUNTAIN RESEARCH AND DEVELOPMENT,MT RES DEV,INT MOUNTAIN SOC,0276-4741,1994-7151,ENVIRONMENTAL SCIENCES,SCIE,"2,113",1.7,Q4,0.32,97.01%
Anthropocene Coasts,ANTHROPOCENE COASTS,SPRINGERNATURE,N/A,2561-4150,ENVIRONMENTAL SCIENCES,ESCI,209,1.6,Q4,0.59,97.67%
WETLANDS ECOLOGY AND MANAGEMENT,WETL ECOL MANAG,SPRINGER,0923-4861,1572-9834,ENVIRONMENTAL SCIENCES,SCIE,"2,173",1.6,Q4,0.39,19.70%
ARCTIC ANTARCTIC AND ALPINE RESEARCH,ARCT ANTARCT ALP RES,TAYLOR & FRANCIS LTD,1523-0430,1938-4246,ENVIRONMENTAL SCIENCES,SCIE,"3,000",1.6,Q4,0.37,93.41%
Toxicology and Environmental Health Sciences,TOXICOL ENV HEALTH,KOREAN SOC ENVIRONMENTAL RISK ASSESSMENT & HEALTH SCIENCE,2005-9752,2233-7784,ENVIRONMENTAL SCIENCES,ESCI,494,1.6,Q4,0.34,2.56%
JOURNAL OF ENVIRONMENTAL ENGINEERING,J ENVIRON ENG,ASCE-AMER SOC CIVIL ENGINEERS,0733-9372,1943-7870,ENVIRONMENTAL SCIENCES,SCIE,"5,504",1.6,Q4,0.32,3.89%
SOIL & SEDIMENT CONTAMINATION,SOIL SEDIMENT CONTAM,TAYLOR & FRANCIS INC,1532-0383,1549-7887,ENVIRONMENTAL SCIENCES,SCIE,"1,632",1.6,Q4,0.31,1.87%
Aerosol Science and Engineering,AEROSOL SCI ENG,SPRINGERNATURE,2510-375X,2510-3768,ENVIRONMENTAL SCIENCES,ESCI,282,1.6,Q4,0.3,8.80%
AIMS Environmental Science,AIMS ENVIRON SCI,AMER INST MATHEMATICAL SCIENCES-AIMS,2372-0344,2372-0352,ENVIRONMENTAL SCIENCES,ESCI,513,1.6,Q4,0.3,94.53%
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,ITAL J AGROMETEOROL,FIRENZE UNIV PRESS,2038-5625,2038-5625,ENVIRONMENTAL SCIENCES,SCIE,169,1.6,Q4,0.3,90.48%
Nitrogen,NITROGEN-BASEL,MDPI,N/A,2504-3129,ENVIRONMENTAL SCIENCES,ESCI,151,1.6,Q4,0.29,99.01%
ENVIRONMETRICS,ENVIRONMETRICS,WILEY,1180-4009,1099-095X,ENVIRONMENTAL SCIENCES,SCIE,"2,063",1.5,Q4,0.57,41.48%
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,J OCCUP ENVIRON HYG,TAYLOR & FRANCIS INC,1545-9624,1545-9632,ENVIRONMENTAL SCIENCES,SCIE,"2,444",1.5,Q4,0.42,22.22%
RADIATION AND ENVIRONMENTAL BIOPHYSICS,RADIAT ENVIRON BIOPH,SPRINGER,0301-634X,1432-2099,ENVIRONMENTAL SCIENCES,SCIE,"1,521",1.5,Q4,0.41,34.27%
ENVIRONMENTAL QUALITY MANAGEMENT,ENVIRON QUAL MANAG,WILEY,1088-1913,1520-6483,ENVIRONMENTAL SCIENCES,ESCI,830,1.5,Q4,0.35,3.03%
CLEAN-Soil Air Water,CLEAN-SOIL AIR WATER,WILEY,1863-0650,1863-0669,ENVIRONMENTAL SCIENCES,SCIE,"3,247",1.5,Q4,0.34,5.38%
ENVIRONMENTAL FORENSICS,ENVIRON FORENSICS,TAYLOR & FRANCIS LTD,1527-5922,1527-5930,ENVIRONMENTAL SCIENCES,SCIE,"1,040",1.5,Q4,0.29,2.70%
GAIA-Ecological Perspectives for Science and Society,GAIA,OEKOM VERLAG GMBH,0940-5550,2625-5413,ENVIRONMENTAL SCIENCES,SCIE,971,1.5,Q4,0.25,80.81%
Mires and Peat,MIRES PEAT,"INT PEATLAND SOC, INT MIRE CONSERVATION GROUP",1819-754X,1819-754X,ENVIRONMENTAL SCIENCES,SCIE,832,1.5,Q4,0.23,0%
RADIOPROTECTION,RADIOPROTECTION,EDP SCIENCES S A,0033-8451,1769-700X,ENVIRONMENTAL SCIENCES,SCIE,538,1.4,Q4,0.55,18.49%
JOURNAL OF RADIOLOGICAL PROTECTION,J RADIOL PROT,IOP Publishing Ltd,0952-4746,1361-6498,ENVIRONMENTAL SCIENCES,SCIE,"1,687",1.4,Q4,0.45,27.09%
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,J ENVIRON SCI HEAL B,TAYLOR & FRANCIS INC,0360-1234,1532-4109,ENVIRONMENTAL SCIENCES,SCIE,"3,057",1.4,Q4,0.43,1.15%
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,AFR J RANGE FOR SCI,TAYLOR & FRANCIS LTD,1022-0119,1727-9380,ENVIRONMENTAL SCIENCES,SCIE,751,1.4,Q4,0.41,12.87%
Archives of Environmental & Occupational Health,ARCH ENVIRON OCCUP H,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1933-8244,2154-4700,ENVIRONMENTAL SCIENCES,SCIE,"2,091",1.4,Q4,0.37,5.11%
POLISH JOURNAL OF ENVIRONMENTAL STUDIES,POL J ENVIRON STUD,HARD,1230-1485,2083-5906,ENVIRONMENTAL SCIENCES,SCIE,"6,385",1.4,Q4,0.31,99.73%
POLAR RECORD,POLAR REC,CAMBRIDGE UNIV PRESS,0032-2474,1475-3057,ENVIRONMENTAL SCIENCES,SCIE,803,1.4,Q4,0.3,57.14%
Journal of Applied Remote Sensing,J APPL REMOTE SENS,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,N/A,1931-3195,ENVIRONMENTAL SCIENCES,SCIE,"3,796",1.4,Q4,0.29,13.56%
Archives of Environmental Protection,ARCH ENVIRON PROT,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, INST ENVIRON ENG PAS",2083-4772,2083-4810,ENVIRONMENTAL SCIENCES,SCIE,658,1.4,Q4,0.26,91.27%
CHEMISTRY AND ECOLOGY,CHEM ECOL,TAYLOR & FRANCIS LTD,0275-7540,1029-0370,ENVIRONMENTAL SCIENCES,SCIE,"1,476",1.3,Q4,0.41,0%
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,ANN AGR ENV MED,"Inst Rural Health Lublin, Poland",1232-1966,1898-2263,ENVIRONMENTAL SCIENCES,SCIE,"2,703",1.3,Q4,0.31,100%
Environmental Health Engineering and Management Journal,ENV HEALTH ENG MANAG,KERMAN UNIV MEDICAL SCIENCES,2423-3765,2423-4311,ENVIRONMENTAL SCIENCES,ESCI,365,1.3,Q4,0.26,97.60%
Water Conservation Science and Engineering,WATER CONSERV SCI EN,SPRINGERNATURE,2366-3340,2364-5687,ENVIRONMENTAL SCIENCES,ESCI,405,1.3,Q4,0.25,6.15%
Journal of Environmental Science and Health Part C-Toxicology and Carcinogenesis,J ENV SCI HEAL C-TOX,TAYLOR & FRANCIS INC,2689-6583,2689-6591,ENVIRONMENTAL SCIENCES,SCIE,101,1.2,Q4,0.4,2.33%
CLIMATE RESEARCH,CLIM RES,INTER-RESEARCH,0936-577X,1616-1572,ENVIRONMENTAL SCIENCES,SCIE,"4,611",1.2,Q4,0.28,29.29%
Journal of Sedimentary Environments,J SEDIMENT ENVIRON,SPRINGER HEIDELBERG,2662-5571,2447-9462,ENVIRONMENTAL SCIENCES,ESCI,263,1.2,Q4,0.24,2.56%
International Journal Of Recycling of Organic Waste in Agriculture,INT J RECYCLING ORG,"ISLAMIC AZAD UNIV, ISFAHAN-KHORASGAN BRANCH",2195-3228,2251-7715,ENVIRONMENTAL SCIENCES,ESCI,"1,088",1.2,Q4,0.23,0%
PHYSICAL GEOGRAPHY,PHYS GEOGR,TAYLOR & FRANCIS LTD,0272-3646,1930-0557,ENVIRONMENTAL SCIENCES,SCIE,"1,272",1.1,Q4,0.32,6.10%
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,ISOT ENVIRON HEALT S,TAYLOR & FRANCIS LTD,1025-6016,1477-2639,ENVIRONMENTAL SCIENCES,SCIE,"1,065",1.1,Q4,0.31,11.11%
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,TOXICOL ENVIRON CHEM,TAYLOR & FRANCIS LTD,0277-2248,1029-0486,ENVIRONMENTAL SCIENCES,SCIE,"1,815",1.1,Q4,0.29,6.67%
Pollution,POLLUTION,UNIV TEHRAN,2383-451X,2383-4501,ENVIRONMENTAL SCIENCES,ESCI,645,1.1,Q4,0.27,0%
Grundwasser,GRUNDWASSER,SPRINGER HEIDELBERG,1430-483X,1432-1165,ENVIRONMENTAL SCIENCES,SCIE,187,1.1,Q4,0.21,78.33%
HEALTH PHYSICS,HEALTH PHYS,LIPPINCOTT WILLIAMS & WILKINS,0017-9078,1538-5159,ENVIRONMENTAL SCIENCES,SCIE,"4,185",1,Q4,0.64,15.36%
Annali di Botanica,ANN BOT-COENOL PLANT,UNIV STUDI ROMA LA SAPIENZA,0365-0812,2239-3129,ENVIRONMENTAL SCIENCES,SCIE,147,1,Q4,0.33,0%
BOREAL ENVIRONMENT RESEARCH,BOREAL ENVIRON RES,FINNISH ENVIRONMENT INST,1239-6095,1797-2469,ENVIRONMENTAL SCIENCES,SCIE,"1,066",1,Q4,0.22,0%
Journal of Environmental Engineering and Landscape Management,J ENVIRON ENG LANDSC,VILNIUS GEDIMINAS TECH UNIV,1648-6897,1822-4199,ENVIRONMENTAL SCIENCES,SCIE,586,1,Q4,0.2,97.54%
International Journal of Global Warming,INT J GLOBAL WARM,INDERSCIENCE ENTERPRISES LTD,1758-2083,1758-2091,ENVIRONMENTAL SCIENCES,SCIE,679,1,Q4,0.19,0%
Global NEST Journal,GLOBAL NEST J,GLOBAL NETWORK ENVIRONMENTAL SCIENCE & TECHNOLOGY,1790-7632,N/A,ENVIRONMENTAL SCIENCES,SCIE,"1,235",1,Q4,0.16,0%
ARCTIC,ARCTIC,ARCTIC INST N AMER,0004-0843,1923-1245,ENVIRONMENTAL SCIENCES,SCIE,"1,859",0.9,Q4,0.24,95.65%
International Journal of Hydrology Science and Technology,INT J HYDROL SCI TEC,INDERSCIENCE ENTERPRISES LTD,2042-7808,2042-7816,ENVIRONMENTAL SCIENCES,ESCI,279,0.9,Q4,0.24,0%
Carpathian Journal of Earth and Environmental Sciences,CARPATH J EARTH ENV,Carpathian Assoc Environment and Earth Sciences,1842-4090,1844-489X,ENVIRONMENTAL SCIENCES,SCIE,641,0.9,Q4,0.23,0%
Environmental Engineering and Management Journal,ENVIRON ENG MANAG J,GH ASACHI TECHNICAL UNIV IASI,1582-9596,1843-3707,ENVIRONMENTAL SCIENCES,SCIE,"2,012",0.9,Q4,0.17,0%
European Journal of Sustainable Development,EUR J SUSTAIN DEV,EUROPEAN CENTER SUSTAINABLE DEVELOPMENT,2239-5938,2239-6101,ENVIRONMENTAL SCIENCES,ESCI,888,0.9,Q4,0.16,97.48%
RADIATION PROTECTION DOSIMETRY,RADIAT PROT DOSIM,OXFORD UNIV PRESS,0144-8420,1742-3406,ENVIRONMENTAL SCIENCES,SCIE,"6,086",0.8,Q4,0.25,8.34%
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,AQUAT ECOSYST HEALTH,MICHIGAN STATE UNIV PRESS,1463-4988,1539-4077,ENVIRONMENTAL SCIENCES,SCIE,992,0.8,Q4,0.22,0%
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,BIOTECHNOL AGRON SOC,FAC UNIV SCIENCES AGRONOMIQUES GEMBLOUX,1370-6233,1780-4507,ENVIRONMENTAL SCIENCES,SCIE,710,0.8,Q4,0.14,50.75%
JOURNAL OF ENVIRONMENTAL HEALTH,J ENVIRON HEALTH,NATL ENVIRON HEALTH ASSOC,0022-0892,0022-0892,ENVIRONMENTAL SCIENCES,SCIE,900,0.8,Q4,0.12,0%
Journal of Elementology,J ELEMENTOL,POLISH SOCIETY MAGNESIUM RESEARCH,1644-2296,1644-2296,ENVIRONMENTAL SCIENCES,SCIE,916,0.7,Q4,0.14,0%
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,APPL ECOL ENV RES,ALOKI Applied Ecological Research and Forensic Inst Ltd,1589-1623,1785-0037,ENVIRONMENTAL SCIENCES,SCIE,"3,332",0.6,Q4,0.15,99.36%
BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY,BIOL ENVIRON,ROYAL IRISH ACAD,0791-7945,2009-003X,ENVIRONMENTAL SCIENCES,SCIE,278,0.6,Q4,0.12,31.43%
JOURNAL OF ENVIRONMENTAL BIOLOGY,J ENVIRON BIOL,TRIVENI ENTERPRISES,0254-8704,2394-0379,ENVIRONMENTAL SCIENCES,ESCI,"2,553",0.6,Q4,0.12,0%
European Journal of Environmental Sciences,EUR J ENVIRON SCI,"CHARLES UNIV, FAC MATHEMATICS & PHYSICS",1805-0174,2336-1964,ENVIRONMENTAL SCIENCES,ESCI,132,0.6,Q4,0.11,100%
Granja-Revista de Ciencias de la Vida,GRANJA,UNIV POLITECNICA SALESIANA ECUADOR-SALESIAN POLYTECNIC UNIV,1390-3799,1390-8596,ENVIRONMENTAL SCIENCES,ESCI,108,0.6,Q4,0.09,98.33%
SAINS TANAH,SAINS TANAH,UNIVERSITAS SEBELAS MARET SURAKARTA,1412-3606,2356-1424,ENVIRONMENTAL SCIENCES,ESCI,54,0.5,Q4,0.13,94.52%
EQA-International Journal of Environmental Quality,EQA-INT J ENVIRON QU,"UNIV STUDI BOLOGNA, DEPT AGRICULTURAL SCIENCES",2039-9898,2281-4485,ENVIRONMENTAL SCIENCES,ESCI,108,0.5,Q4,0.11,0%
Revista Brasileira de Ciencias Ambientais,REV BRAS CIENC AMBIE,ASSOCIACAO BRASILEIRA DE ENGENHARIA SANITARIA E AMBIENTAL,1808-4524,2176-9478,ENVIRONMENTAL SCIENCES,ESCI,98,0.5,Q4,0.1,99.39%
Bulgarian Journal of Agricultural Science,BULG J AGRIC SCI,SCIENTIFIC ISSUES NATL CENTRE AGRARIAN SCIENCES,1310-0351,1310-0351,ENVIRONMENTAL SCIENCES,ESCI,"1,339",0.5,Q4,0.07,0%
International Journal of Environment and Waste Management,INT J ENVIR WASTE MA,INDERSCIENCE ENTERPRISES LTD,1478-9876,1478-9868,ENVIRONMENTAL SCIENCES,ESCI,398,0.5,Q4,0.07,0%
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,INT J ENVIRON POLLUT,INDERSCIENCE ENTERPRISES LTD,0957-4352,1741-5101,ENVIRONMENTAL SCIENCES,SCIE,790,0.5,Q4,0.05,0%
Acta Scientiarum Polonorum-Formatio Circumiectus,ACTA SCI POL-FORM C,WYDAWNICTWO UNIWERSYTETU ROLNICZEGO HUGONA KOLLATAJA KRAKOWIE,1644-0765,1644-0765,ENVIRONMENTAL SCIENCES,ESCI,147,0.4,Q4,0.13,94.44%
Geology Geophysics and Environment,GEOL GEOPHYS ENVIRON,AGH UNIV SCIENCE & TECHNOLOGY PRESS,2299-8004,2353-0790,ENVIRONMENTAL SCIENCES,ESCI,119,0.4,Q4,0.13,100%
Asian Journal of Water Environment and Pollution,ASIAN J WATER ENVIRO,IOS PRESS,0972-9860,1875-8568,ENVIRONMENTAL SCIENCES,ESCI,341,0.4,Q4,0.08,0%
Journal of Environmental Science and Management,J ENVIRON SCI MANAG,UNIV PHILIPPINES LOS BANOS COLLEGE,0119-1144,0119-1144,ENVIRONMENTAL SCIENCES,SCIE,200,0.4,Q4,0.07,0%
Revista Internacional de Contaminacion Ambiental,REV INT CONTAM AMBIE,CENTRO CIENCIAS ATMOSFERA UNAM,0188-4999,N/A,ENVIRONMENTAL SCIENCES,SCIE,536,0.4,Q4,0.07,95.73%
Rocznik Ochrona Srodowiska,ROCZ OCHR SR,MIDDLE POMERANIAN SCI SOC ENV PROT,1506-218X,N/A,ENVIRONMENTAL SCIENCES,SCIE,352,0.4,Q4,0.07,0%
Revista de Gestao Ambiental e Sustentabilidade-GeAS,REV GEST AMBIENT SUS,UNIV NOVE JULHO,2316-9834,2316-9834,ENVIRONMENTAL SCIENCES,ESCI,81,0.4,Q4,0.05,78.72%
Catrina-The International Journal of Environmental Sciences,CATRINA,EGYPTIAN SOC ENVIRONMENTAL SCIENCES,1687-5052,2090-2786,ENVIRONMENTAL SCIENCES,ESCI,108,0.1,Q4,0.05,0%
GEFAHRSTOFFE REINHALTUNG DER LUFT,GEFAHRST REINHALT L,SPRINGER-V D I VERLAG GMBH & CO KG,0949-8036,1436-4891,ENVIRONMENTAL SCIENCES,SCIE,90,0.1,Q4,0.03,0%
Revista de Sociedad Gaditana de Historia Natural,REV SOC GADIT HIST N,SOC GADITANA HISTORIA NATURAL,1577-2578,2340-5759,ENVIRONMENTAL SCIENCES,ESCI,17,0.1,Q4,0.01,0%
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,ENVIRON SCI POLLUT R,SPRINGER HEIDELBERG,0944-1344,1614-7499,ENVIRONMENTAL SCIENCES,SCIE,"164,197",N/A,N/A,0.99,7.17%
,,,,,,,,,,,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,
